Name,Collection,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism
Cardiovascular Diseases,conditions,[84112] Eggerthella lenta (-0.1194),[1535] [Clostridium] leptum (-0.1194),[33038] Mediterraneibacter gnavus (-0.1194),[1660] Schaalia odontolytica (-0.1194),[1262992] Firmicutes bacterium CAG:83 (-0.1194),[Probiotic] Streptococcus salivarius (-0.1194),[114527] Mogibacterium diversum (-0.1194),[33033] Parvimonas micra (-0.1194),[33025] Phascolarctobacterium faecium (-0.1194),[821] Phocaeicola vulgatus (0.1194),[818] Bacteroides thetaiotaomicron (0.1194),[35833] Bilophila wadsworthia (-0.1194),[1655] Actinomyces naeslundii (-0.1194),[544580] Actinomyces oris (-0.1194),[1328] Streptococcus anginosus (-0.1194),[143393] [Eubacterium] sulci (-0.1194),[261299] Intestinibacter bartlettii (-0.1194),[471189] Gordonibacter pamelaeae (-0.1194),[147206] Collinsella stercoris (-0.1194),[936548] Actinomyces sp. ICM47 (-0.1194),[820] Bacteroides uniformis (0.1194),[1318] Streptococcus parasanguinis (-0.1194),[1678] Bifidobacterium (-0.0064),[31979] Clostridiaceae (0.0),[244127] Anaerotruncus (0.0),[1301] Streptococcus (0.0),,,,
Inflammatory Bowel Diseases,conditions,[1263] Ruminococcus (0.0992),[292632] Subdoligranulum (-0.0229),[1301] Streptococcus (0.0166),[239759] Alistipes (-0.0166),[33042] Coprococcus (-0.0166),[375288] Parabacteroides (-0.0166),[820] Bacteroides uniformis (0.0166),[1263547] Oscillibacter ruminantium (-0.0166),[89014] Blautia luti (0.0166),[40520] Blautia obeum (0.0166),[39488] Anaerobutyricum hallii (-0.0166),[40518] Ruminococcus bromii (-0.0166),[745368] Gemmiger formicilis (0.0166),[239934] Akkermansia (-0.0166),[841] Roseburia (-0.0166),[447020] Adlercreutzia (-0.0166),[39491] Agathobacter rectalis (-0.0166),[946234] Flavonifractor (0.0166),[1578] Lactobacillus (0.0166),[1150298] Fusicatenibacter saccharivorans (0.0166),[397864] Barnesiella (-0.0166),[29465] Veillonella (0.0102),[201174] Actinomycetota (-0.0102),[81852] Enterococcaceae (0.0102),[1352] Enterococcus faecium (0.0102),[1351] Enterococcus faecalis (-0.0102),[Pathogen] Clostridioides difficile (0.0102),[1350] Enterococcus (0.0102),[343013] Paenacidovorax caeni (-0.0102),[1239] Bacillota (-0.0073)
Non-Alcoholic Fatty Liver Disease,conditions,[853] Faecalibacterium prausnitzii (-0.1361),[1301] Streptococcus (0.1177),[286] Pseudomonas (-0.1176),[906] Megasphaera (0.1176),[135858] Catenibacterium (-0.1176),[86331] Mogibacterium (-0.1176),[155493] Gallibacterium (0.1176),[171550] Rikenellaceae (-0.1176),[186804] Peptostreptococcaceae (-0.1176),[84108] Slackia (0.1044),[1239] Bacillota (-0.0934),[239759] Alistipes (-0.0911),[33024] Phascolarctobacterium (-0.0895),[189330] Dorea (0.0882),[33042] Coprococcus (-0.0844),[216572] Oscillospiraceae (-0.083),[2172] Methanobrevibacter (-0.0752),[39486] Dorea formicigenerans (0.067),[1224] Pseudomonadota (0.065),[543] Enterobacteriaceae (0.0649),[561] Escherichia (0.0647),[31977] Veillonellaceae (0.0643),[577309] Paraprevotella (-0.0618),[283168] Odoribacter (-0.0618),[216851] Faecalibacterium (-0.0542),[33958] Lactobacillaceae (0.0541),[200643] Bacteroidia (-0.0529),[186802] Eubacteriales (-0.0473),[119852] Oscillospira (-0.0445),[838] Prevotella (-0.0444)
Cholangiocarcinoma,conditions,[1239] Bacillota (-0.0265),[200643] Bacteroidia (0.0265),[171551] Porphyromonadaceae (0.024),[816] Bacteroides (0.024),[216572] Oscillospiraceae (0.024),,,,,,,,,,,,,,,,,,,,,,,,,
Isomalt Digestion,metabolisms,[1678] Bifidobacterium (0.0001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,conditions,[1224] Pseudomonadota (0.0058),[201174] Actinomycetota (-0.0043),[1522] [Clostridium] innocuum (-0.0015),[581] Morganella (0.0015),[526524] Erysipelotrichia (0.0015),[1228827] Influenza A virus) (0.0015),[909930] Acidaminococcaceae (-0.0015),[1392389] Intestinimonas (0.0015),[191303] Turicibacter (0.0015),[186804] Peptostreptococcaceae (0.0015),[135858] Catenibacterium (0.0015),[526525] Erysipelotrichales (0.0015),[203491] Fusobacteriales (-0.0015),,,,,,,,,,,,,,,,,
Mannitol Digestion,metabolisms,[1870985] Arabiibacter massiliensis (0.0026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satiation,symptoms,[1117] Cyanobacteriota (0.1476),[1512] [Clostridium] symbiosum (0.0063),[853] Faecalibacterium prausnitzii (0.0063),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dermatitis, Atopic",conditions,[853] Faecalibacterium prausnitzii (0.0419),[35832] Bilophila (0.003),[310297] Phocaeicola plebeius (0.0015),[816] Bacteroides (0.0015),[40544] Sutterella (0.0015),[817] Bacteroides fragilis (0.0015),[397864] Barnesiella (0.0015),,,,,,,,,,,,,,,,,,,,,,,
Lactose Digestion,metabolisms,[1678] Bifidobacterium (0.2045),[Probiotic] Lactobacillus gasseri (0.0549),[853] Faecalibacterium prausnitzii (0.0549),[1870985] Arabiibacter massiliensis (0.0026),[562] Escherichia coli (0.0003),[28132] Prevotella melaninogenica (0.0001),[1559] Clostridium tertium (0.0001),[39491] Agathobacter rectalis (0.0001),[818] Bacteroides thetaiotaomicron (0.0001),[821] Phocaeicola vulgatus (0.0001),[823] Parabacteroides distasonis (0.0001),[Probiotic] Streptococcus salivarius (0.0001),[548] Klebsiella aerogenes (0.0001),[Probiotic] Bifidobacterium longum (0.0001),[573] Klebsiella pneumoniae (0.0001),[1338] Streptococcus intermedius (0.0001),[39492] [Eubacterium] siraeum (0.0001),[Pathogen] Klebsiella oxytoca (0.0001),[1680] Bifidobacterium adolescentis (0.0001),[33035] Blautia producta (0.0001),[Probiotic] Lactobacillus acidophilus (0.0001),[550] Enterobacter cloacae (0.0001),[74426] Collinsella aerofaciens (0.0001),[29363] Clostridium paraputrificum (0.0001),,,,,,
Hypercholesterolemia,conditions,[216851] Faecalibacterium (-0.0219),[970] Selenomonas (-0.0166),[84107] Coriobacteriaceae (0.0166),[135613] Chromatiales (0.0166),[186817] Bacillaceae (0.0166),[186802] Eubacteriales (0.0166),[508215] Rothia (0.0166),[172900] Victivallis (-0.0166),[2316] Methanosphaera (0.0166),[201174] Actinomycetota (0.0166),[33039] [Ruminococcus] torques (0.0053),[39778] Veillonella dispar (0.0053),[1305] Streptococcus sanguinis (0.0053),[39491] Agathobacter rectalis (0.0053),[1318] Streptococcus parasanguinis (0.0053),[292632] Subdoligranulum (-0.0053),[39948] Dialister (-0.0053),[150055] Streptococcus lutetiensis (0.0053),[1239] Bacillota (0.0053),[Probiotic] Bifidobacterium bifidum (-0.0053),[35833] Bilophila wadsworthia (-0.0053),[1224] Pseudomonadota (-0.0053),,,,,,,,
Fucose Digestion,metabolisms,[1870985] Arabiibacter massiliensis (0.0026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Renal Insufficiency, Chronic",conditions,[Probiotic] Lacticaseibacillus paracasei (-0.0098),[573] Klebsiella pneumoniae (-0.0098),[1686] Bifidobacterium catenulatum (-0.0098),[Probiotic] Lactiplantibacillus plantarum (-0.0098),[Probiotic] Bifidobacterium longum (-0.0098),[Probiotic] Bifidobacterium bifidum (-0.0098),[1678] Bifidobacterium (-0.0051),[292632] Subdoligranulum (0.0047),[1578] Lactobacillus (0.0047),,,,,,,,,,,,,,,,,,,,,
Diastole,symptoms,[816] Bacteroides (-0.023),[31979] Clostridiaceae (-0.023),[990719] Christensenellaceae (-0.0102),[186803] Lachnospiraceae (0.0102),[853] Faecalibacterium prausnitzii (-0.0102),[216572] Oscillospiraceae (0.0102),[1929305] Pygmaiobacter (0.0102),[91061] Bacilli (-0.0),[1578] Lactobacillus (-0.0),[1735] Holdemanella biformis (-0.0),[375288] Parabacteroides (-0.0),[292632] Subdoligranulum (-0.0),[644652] Gordonibacter (0.0),[1573534] Faecalitalea (-0.0),[1940255] Fournierella (0.0),[1224] Pseudomonadota (0.0),,,,,,,,,,,,,,
Esophagitis,conditions,[186801] Clostridia (-0.0),[186802] Eubacteriales (-0.0),[200643] Bacteroidia (0.0),[1239] Bacillota (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,,
Cough,symptoms,[1297617] Intestinimonas butyriciproducens (0.0038),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cellulose Digestion,metabolisms,[282223] Armillaria sp. CMW 8096 (0.0719),[838] Prevotella (0.0719),[34413] Humicola insolens (0.0719),[186802] Eubacteriales (0.0719),[1515] Acetivibrio thermocellus (0.0719),[2037] Actinomycetales (0.0719),[816] Bacteroides (0.0098),[1264] Ruminococcus albus (0.0098),[1493] Clostridium cellulovorans (0.0065),[1678] Bifidobacterium (0.0031),[39491] Agathobacter rectalis (0.0031),[1578] Lactobacillus (0.0031),[1350] Enterococcus (0.0031),[1532] Blautia coccoides (0.0031),[213810] Ruminococcus champanellensis 18P13 = JCM 17042 (0.003),,,,,,,,,,,,,,,
Thyrotropin,symptoms,[853] Faecalibacterium prausnitzii (-0.0031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer Disease,conditions,[1730] Eubacterium (-0.1984),[1239] Bacillota (-0.1226),[1224] Pseudomonadota (0.1226),[31979] Clostridiaceae (-0.1226),[1263] Ruminococcus (-0.0982),[91347] Enterobacterales (0.0982),[543] Enterobacteriaceae (0.0982),[1236] Gammaproteobacteria (0.0982),[3062492] Blautia massiliensis (-0.0752),[218538] Dialister invisus (-0.0752),[39486] Dorea formicigenerans (0.0752),[853] Faecalibacterium prausnitzii (0.0752),[1262882] Eubacterium sp. CAG:180 (0.0752),[28118] Odoribacter splanchnicus (0.0752),[40520] Blautia obeum (0.0752),[357276] Phocaeicola dorei (0.0752),[Probiotic] Bifidobacterium longum (-0.0752),[360807] Roseburia inulinivorans (-0.0752),[2173] Methanobrevibacter smithii (0.0752),[261299] Intestinibacter bartlettii (0.0752),[745368] Gemmiger formicilis (0.0752),[329854] Bacteroides intestinalis (0.0752),[47678] Bacteroides caccae (-0.0752),[821] Phocaeicola vulgatus (-0.0752),[454155] Paraprevotella xylaniphila (-0.0752),[116085] Coprococcus catus (0.0752),[487174] Barnesiella intestinihominis (0.0752),[28117] Alistipes putredinis (0.0752),[674529] Bacteroides faecis (-0.0752),[1628085] Agathobaculum butyriciproducens (0.0752)
Prediabetic State,conditions,[40545] Sutterella wadsworthensis (0.0661),[28134] Hoylesella oralis (0.0661),[1678] Bifidobacterium (0.0661),[46506] Bacteroides stercoris (0.0661),[189330] Dorea (0.051),[1485] Clostridium (-0.0485),[186802] Eubacteriales (-0.0476),[Probiotic] Akkermansia muciniphila (-0.0462),[33038] Mediterraneibacter gnavus (0.0398),[820] Bacteroides uniformis (0.0398),[1263] Ruminococcus (0.0398),[853] Faecalibacterium prausnitzii (-0.0337),[562] Escherichia coli (0.0337),[1301] Streptococcus (0.0334),[572511] Blautia (0.0308),[301301] Roseburia hominis (-0.0303),[847] Oxalobacter formigenes (-0.0303),[45851] Butyrivibrio crossotus (-0.0303),[907] Megasphaera elsdenii (0.0303),[729] Haemophilus parainfluenzae (-0.0303),[41978] Ruminococcus sp. (-0.0303),[154046] Hungatella hathewayi (-0.0303),[Probiotic] Streptococcus salivarius (0.0303),[218538] Dialister invisus (-0.0303),[856] Fusobacterium varium (0.0303),[1929886] Eggerthella sp. (0.0303),[2049024] Coprococcus sp. (-0.0303),[946234] Flavonifractor (-0.0287),[724] Haemophilus (0.0287),[216572] Oscillospiraceae (-0.0287)
Chronic Pain,symptoms,[1263] Ruminococcus (0.0303),[1720294] Eisenbergiella massiliensis (0.0193),[816] Bacteroides (0.0193),[1506553] Lachnoclostridium (0.0193),[216572] Oscillospiraceae (0.0193),[1485] Clostridium (0.0193),[2641225] unclassified Odoribacter (-0.0079),[35832] Bilophila (0.0079),[91061] Bacilli (0.0079),[577310] Parasutterella (-0.0079),[328814] Alistipes shahii (-0.0079),[1578] Lactobacillus (0.0079),[189330] Dorea (-0.0079),[28139] Rikenella microfusus (0.0079),[244127] Anaerotruncus (0.0079),[158846] Megamonas (-0.0079),[447020] Adlercreutzia (-0.0079),[2621675] unclassified Dactylosporangium (0.0079),[1766253] Agathobacter (-0.0079),[2608887] unclassified Streptococcus (0.0079),[1771349] Tepidisphaerales (0.0079),[1836792] Chthoniobacteraceae (0.0079),[209879] Allisonella (-0.0079),[911113] Bryobacter (0.0079),[2641574] unclassified Agathobacter (-0.0079),[2627569] unclassified Sellimonas (0.0079),[2627917] unclassified Dorea (-0.0079),[28138] Rikenella (0.0079),[2643817] unclassified Atopobium (0.0079),[1962910] Bryobacteraceae (0.0079)
"Arthritis, Psoriatic",conditions,[46205] Pseudobutyrivibrio (-0.0001),[48461] Verrucomicrobiales (-0.0001),[348841] unclassified Clostridia (-0.0001),[239934] Akkermansia (-0.0001),[203557] Verrucomicrobiaceae (-0.0001),[33042] Coprococcus (-0.0001),[74201] Verrucomicrobiota (-0.0001),[1263] Ruminococcus (-0.0001),,,,,,,,,,,,,,,,,,,,,,
Cognitive Dysfunction,conditions,[216572] Oscillospiraceae (-0.0078),[216851] Faecalibacterium (-0.0078),[186803] Lachnospiraceae (-0.0078),[186802] Eubacteriales (-0.0078),[186801] Clostridia (-0.0078),[841] Roseburia (-0.0078),[1239] Bacillota (-0.0078),,,,,,,,,,,,,,,,,,,,,,,
Soluble Fiber Digestion,metabolisms,[817] Bacteroides fragilis (1.0352),[28116] Bacteroides ovatus (1.0207),[820] Bacteroides uniformis (1.0204),[818] Bacteroides thetaiotaomicron (1.0003),[47678] Bacteroides caccae (1.0),[411481] Bifidobacterium adolescentis L2-32 (0.0695),[853] Faecalibacterium prausnitzii (0.065),[Probiotic] Lactobacillus acidophilus (0.0648),[657321] Ruminococcus bromii L2-63 (0.0598),[1680] Bifidobacterium adolescentis (0.0404),[649756] Anaerostipes hadrus (0.0375),[166486] Roseburia intestinalis (0.0325),[360807] Roseburia inulinivorans (0.0325),[645466] Anaerostipes butyraticus (0.0325),[816] Bacteroides (0.0304),[Probiotic] Bifidobacterium longum (0.0247),[216851] Faecalibacterium (0.0205),[1263] Ruminococcus (0.0205),[1508657] Ruminiclostridium (0.0205),[841] Roseburia (0.0205),[33042] Coprococcus (0.0205),[218538] Dialister invisus (0.0204),[156456] Anaeroglobus geminatus (0.0204),[1532] Blautia coccoides (0.0204),[357276] Phocaeicola dorei (0.0204),[Probiotic] Pediococcus acidilactici (0.0204),[292632] Subdoligranulum (0.0204),[371601] Bacteroides xylanisolvens (0.0204),[39491] Agathobacter rectalis (0.0204),[418240] Blautia wexlerae (0.0204)
Multiple Myeloma,conditions,[1224] Pseudomonadota (0.1072),[573] Klebsiella pneumoniae (0.1018),[550] Enterobacter cloacae (0.1018),[283168] Odoribacter (0.1018),[548] Klebsiella aerogenes (0.1018),[649756] Anaerostipes hadrus (-0.1018),[544] Citrobacter (0.1018),[244366] Klebsiella variicola (0.1018),[570] Klebsiella (0.1018),[1301] Streptococcus (0.1018),[Probiotic] Streptococcus salivarius (0.1018),[1392389] Intestinimonas (0.1018),[1302] Streptococcus gordonii (0.1018),[102106] Collinsella (0.1018),[1313] Streptococcus pneumoniae (0.1018),[546] Citrobacter freundii (0.1018),[1492] Clostridium butyricum (-0.1018),[54291] Raoultella ornithinolytica (0.1018),[29465] Veillonella (0.1018),[1303] Streptococcus oralis (0.1018),[547] Enterobacter (0.1018),[169679] Clostridium saccharobutylicum (-0.1018),[28037] Streptococcus mitis (0.1018),[84999] Coriobacteriales (-0.0054),[2086] Anaeroplasma (0.0054),[84107] Coriobacteriaceae (-0.0054),[841] Roseburia (0.0054),[39488] Anaerobutyricum hallii (-0.0054),[84998] Coriobacteriia (-0.0054),[201174] Actinomycetota (-0.0054)
Estradiol,symptoms,[189330] Dorea (0.0056),[572511] Blautia (0.0056),[33024] Phascolarctobacterium (-0.0028),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carcinoma, Renal Cell",conditions,[658086] Lachnospiraceae bacterium 3_1_57FAA_CT1 (0.0001),[487174] Barnesiella intestinihominis (0.0001),[473772] unclassified Oscillospiraceae (0.0001),[214856] Alistipes finegoldii (0.0001),[1512] [Clostridium] symbiosum (0.0001),[165179] Segatella copri (-0.0001),[457421] Clostridiales bacterium 1_7_47FAA (0.0001),[552398] Ruminococcaceae bacterium D16 (0.0001),[39485] Lachnospira eligens (0.0001),[Probiotic] Akkermansia muciniphila (0.0001),[28118] Odoribacter splanchnicus (0.0001),[39488] Anaerobutyricum hallii (-0.0001),[823] Parabacteroides distasonis (0.0001),[Probiotic] Streptococcus thermophilus (-0.0001),[116085] Coprococcus catus (-0.0001),[2030927] Bacteroidales bacterium (0.0001),[1288121] Alistipes senegalensis (0.0001),[246787] Bacteroides cellulosilyticus (0.0001),[39491] Agathobacter rectalis (-0.0001),[35833] Bilophila wadsworthia (0.0001),[821] Phocaeicola vulgatus (0.0001),[2637685] unclassified Holdemania (0.0001),[410072] Coprococcus comes (-0.0001),[88431] Dorea longicatena (-0.0001),[358743] Enterocloster citroniae (0.0001),[2608889] unclassified Escherichia (0.0001),[457412] Ruminococcus sp. 5_1_39BFAA (-0.0001),[658087] Lachnospiraceae bacterium 7_1_58FAA (-0.0001),[2637239] unclassified Mitsuokella (-0.0001),[2642822] unclassified Bilophila (0.0001)
Mental Fatigue,symptoms,[526525] Erysipelotrichales (0.0204),[128827] Erysipelotrichaceae (0.0204),[207244] Anaerostipes (-0.0204),[526524] Erysipelotrichia (0.0204),,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Initiation and Maintenance Disorders,symptoms,[216572] Oscillospiraceae (-0.1376),[Probiotic] Lactobacillus crispatus (0.0294),[1301] Streptococcus (0.0294),[1578] Lactobacillus (0.0294),[186804] Peptostreptococcaceae (-0.0166),[171552] Prevotellaceae (0.0166),[33042] Coprococcus (-0.0166),[204475] Gemmiger (0.0166),[1407607] Fusicatenibacter (0.0166),[459786] Oscillibacter (-0.0166),[838] Prevotella (0.0166),[815] Bacteroidaceae (-0.0166),[816] Bacteroides (-0.0102),[283168] Odoribacter (-0.0079),[853] Faecalibacterium prausnitzii (-0.0045),[40520] Blautia obeum (0.0045),[1263] Ruminococcus (0.0045),[1150298] Fusicatenibacter saccharivorans (0.0045),[301302] Roseburia faecis (0.0045),[200643] Bacteroidia (-0.0045),[165179] Segatella copri (0.0045),[186802] Eubacteriales (0.0),,,,,,,,
Hyperglycemia,symptoms,[544448] Mycoplasmatota (-0.0183),[256845] Lentisphaerota (-0.0183),[1432051] Eisenbergiella (0.0167),[577310] Parasutterella (-0.0167),[375288] Parabacteroides (-0.0167),[1643826] Eggerthellaceae (-0.0166),[186806] Eubacteriaceae (0.0166),[216572] Oscillospiraceae (0.0164),[255528] Victivallaceae (-0.0142),[990719] Christensenellaceae (-0.0142),[84107] Coriobacteriaceae (-0.0142),[1895827] unclassified Candidatus Saccharibacteria (0.0142),[39948] Dialister (-0.0136),[203490] Fusobacteriia (0.0095),[95818] Candidatus Saccharibacteria (0.0095),[41295] Rhodospirillaceae (-0.0095),[203492] Fusobacteriaceae (0.0095),[203491] Fusobacteriales (0.0095),[85025] Nocardiaceae (0.0095),[75682] Oxalobacteraceae (-0.0095),[1239] Bacillota (-0.0089),[508458] Synergistota (-0.0089),[200643] Bacteroidia (-0.0089),[239934] Akkermansia (-0.0089),[74152] Elusimicrobiota (-0.0089),[838] Prevotella (-0.0089),[1117] Cyanobacteriota (-0.0089),[74201] Verrucomicrobiota (-0.0089),[816] Bacteroides (-0.0089),[28890] Euryarchaeota (-0.0089)
IgA Vasculitis,conditions,[1239] Bacillota (-0.0453),[216851] Faecalibacterium (-0.0348),[816] Bacteroides (0.0346),[841] Roseburia (-0.0333),[32066] Fusobacteriota (0.033),[39948] Dialister (-0.0317),[1506553] Lachnoclostridium (0.0316),[84111] Eggerthella (0.0196),[637] Arsenophonus (0.0182),[33042] Coprococcus (-0.0182),[46255] Weissella (-0.0182),[1262994] Firmicutes bacterium CAG:65 (-0.0182),[1262832] Clostridium sp. CAG:7 (-0.0182),[84162] Cryptobacterium (-0.0182),[1730] Eubacterium (-0.0182),[1805476] Blautia sp. Marseille-P2398 (-0.0182),[28026] Bifidobacterium pseudocatenulatum (-0.0182),[29521] Brachyspira (-0.0182),[43668] Brachybacterium (-0.0182),[511434] Candidatus Azobacteroides (0.0182),[219301] Brachybacterium muris (-0.0182),[37734] Enterococcus casseliflavus (0.0182),[815] Bacteroidaceae (0.0166),[84107] Coriobacteriaceae (-0.0166),[189330] Dorea (-0.0166),[84998] Coriobacteriia (-0.0166),[102106] Collinsella (-0.0166),[459786] Oscillibacter (0.0166),[84999] Coriobacteriales (-0.0166),[1766253] Agathobacter (-0.0166)
Fatty Liver,symptoms,[712] Pasteurellaceae (-0.1018),[1268] Micrococcaceae (-0.1018),[33958] Lactobacillaceae (-0.1018),[1678] Bifidobacterium (-0.0395),[186803] Lachnospiraceae (0.0395),[91061] Bacilli (0.0395),[3082768] Christensenellales (-0.0395),[3085636] Lachnospirales (0.0395),[216851] Faecalibacterium (-0.0395),[216572] Oscillospiraceae (0.0395),[815] Bacteroidaceae (0.0395),[31953] Bifidobacteriaceae (-0.0395),,,,,,,,,,,,,,,,,,
Gluten Digestion,metabolisms,[543] Enterobacteriaceae (0.0294),[31979] Clostridiaceae (0.0294),[186817] Bacillaceae (0.0294),[1408] Bacillus pumilus (0.0153),[1402] Bacillus licheniformis (0.0153),[1282] Staphylococcus epidermidis (0.0153),[Probiotic] Bacillus subtilis (0.0153),[40324] Stenotrophomonas maltophilia (0.0153),[1747] Cutibacterium acnes (0.0084),[1351] Enterococcus faecalis (0.0084),[1491] Clostridium botulinum (0.0084),[1352] Enterococcus faecium (0.0084),[Probiotic] Bifidobacterium longum (0.0084),[Probiotic] Pediococcus acidilactici (0.0084),[Pathogen] Clostridium perfringens (0.0084),[1505] Paraclostridium sordellii (0.0084),[114136] Paenibacillus jamilae (0.0084),[1492] Clostridium butyricum (0.0084),[1290] Staphylococcus hominis (0.0084),[Pathogen] Staphylococcus aureus (0.0069),[Probiotic] Streptococcus thermophilus (0.0069),[Probiotic] Lacticaseibacillus paracasei (0.0069),[1390] Bacillus amyloliquefaciens (0.0069),[287] Pseudomonas aeruginosa (0.0069),[Probiotic] Streptococcus salivarius (0.0069),[1473] Virgibacillus pantothenticus (0.0069),,,,
Back Pain,symptoms,[990719] Christensenellaceae (0.0142),[447020] Adlercreutzia (0.0142),[841] Roseburia (0.0142),,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Glucose,symptoms,[91347] Enterobacterales (0.074),[580596] Butyricicoccus (0.0051),[86331] Mogibacterium (-0.0051),[1940255] Fournierella (0.0051),[724] Haemophilus (-0.0051),[410072] Coprococcus comes (0.0001),[Probiotic] Streptococcus salivarius (0.0001),[360807] Roseburia inulinivorans (0.0001),[28117] Alistipes putredinis (0.0001),,,,,,,,,,,,,,,,,,,,,
